user_id,ll_pooled,test_purchases,ll_experimental_1_hawkes
59,-9.60732511751088,2.0,-13.373193930581875
137,-6.0744095185017954,1.0,-5.697978744955249
267,-2.552412076365918,0.0,-2.612723763933891
306,-24.86037800538343,6.0,-26.70184236118765
341,-10.4858946710609,2.0,-11.40503441943066
418,-8.154917670451532,2.0,-7.82858256351984
801,-4.623676923894357,0.0,-2.6242640876370564
961,-3.017162890465578,0.0,-3.5768324883163123
996,-52.42972729944059,17.0,-45.86666929670018
1042,-2.120258881346213,0.0,-0.5458665012413171
1160,-23.787391937099237,9.0,-25.10797475785918
1267,-5.215387581733562,1.0,-5.956727046211585
1353,-8.286425634409166,0.0,-3.496636491959175
1378,-7.120893032867082,1.0,-7.3655821667671635
1553,-34.73568729236644,13.0,-33.211845862744305
1748,-24.48806931787719,7.0,-23.27013920897159
1881,-2.602804767366448,0.0,-1.3937783186249644
1887,-19.30456102350501,5.0,-18.06233927025952
1933,-24.85598658141723,8.0,-26.05349064742433
2209,-9.31262514595374,2.0,-8.716352746765974
2232,-54.67166969734925,16.0,-44.47677915565906
2249,-6.011769322309105,1.0,-5.767848935919439
2293,-20.649635297437456,6.0,-17.5246582361182
2340,-5.955466184680228,1.0,-5.167551789398865
2596,-20.380146831381538,4.0,-22.720639970660564
2647,-31.494387434438018,9.0,-28.5534224813659
2740,-6.540901482556638,1.0,-4.968432798682659
2807,-6.1292255122223205,1.0,-8.11645901297036
2812,-13.046787470431704,3.0,-12.254562298314992
2873,-3.8044437349147273,0.0,-3.955178829140212
3001,-131.76074552751925,85.0,-122.04105845512032
3042,-6.76553686765159,1.0,-7.293115185530692
3325,-12.487745931956685,4.0,-13.25845352835191
3367,-13.745334165065634,3.0,-14.87841970600366
3485,-29.149631628776433,9.0,-28.568602570997307
3552,-3.1490143665881196,0.0,-3.36107252300983
3631,-2.4254133679064354,0.0,-2.1311500707295807
3733,-16.106834307301092,4.0,-16.559115721764883
3761,-2.721884176665019,0.0,-2.217788252803767
3774,-2.258079622427113,0.0,-2.3735364368832808
3883,-8.802946537677535,2.0,-8.626464167921355
3896,-30.64540279014811,8.0,-28.542234530080783
3905,-19.84347838533612,4.0,-25.746924171866898
3952,-31.99979294673196,8.0,-27.575564331557555
3955,-14.595309259203404,4.0,-15.350054919321384
3956,-21.41413165804323,7.0,-21.374795106699786
3979,-5.699836249234184,1.0,-5.765885761271051
4073,-24.06981515937462,6.0,-22.317875844803915
4344,-2.9967773547969583,0.0,-2.770664502246164
4453,-6.150256097855348,1.0,-5.365700382046011
4650,-24.771918258608533,7.0,-26.53470364036853
4711,-41.37493009275235,17.0,-39.20542938964122
4730,-90.36497008721362,32.0,-96.99751026345967
4753,-14.305183235671269,3.0,-13.039726043327136
