n_days,model,n_runs,mean_nll,median_nll,std_nll,min_nll,max_nll
15,Global Poisson,50,0.4136265624345024,0.40666333841174307,0.039561689943343185,0.3409082016068544,0.5006078806375651
15,Rolling Poisson,50,0.4136540743353265,0.406656150285428,0.039458656007752134,0.3409077761618347,0.5005741563407005
15,Rolling Seasonal,50,0.43126638350766344,0.4067695135192878,0.12056148909849133,0.3412493726368153,1.215538561900187
15,Personalized Gamma-Poisson,50,0.40542290604471326,0.3827818971508141,0.12187538970156353,0.3172419371190482,1.1970333643708029
15,Scaled-baseline Hawkes,50,0.4000472461877071,0.3827818992659299,0.0872579429985682,0.3172419371146086,0.9282503777562257
15,Joint Hawkes (λ_u + α),50,0.37512059760174266,0.36440341049567915,0.04387702979437363,0.3063207577956113,0.5261297305274817
15,Pooled Hawkes (c·b_t + α^T s),50,0.36580230277832126,0.35750503441835074,0.03884205468247266,0.2986025418833714,0.4585549750787298
15,GBDT (experimental),50,0.3617249460583048,0.34837348241011024,0.0533908292462266,0.2932073860421232,0.5727934487310149
21,Global Poisson,35,0.39838108936323063,0.3968770252961325,0.026696119467884468,0.3601015524670811,0.4641873041543364
21,Rolling Poisson,35,0.39845013029295184,0.3964378810079133,0.026808996791282885,0.3598577645837843,0.4641315828077806
21,Rolling Seasonal,35,0.3989394996835075,0.3966440298289731,0.02747489634260921,0.3597805472940555,0.4641412403335084
21,Personalized Gamma-Poisson,35,0.3651431321215992,0.3613577274655655,0.027896021915935567,0.3210890586536722,0.4241422545356996
21,Scaled-baseline Hawkes,35,0.3651431322674843,0.3613577274660462,0.027896022221318897,0.3210890583108912,0.4241422545637672
21,Joint Hawkes (λ_u + α),35,0.35665183252803023,0.3512138098973598,0.030320399361303072,0.314271543231109,0.4198736273301152
21,Pooled Hawkes (c·b_t + α^T s),35,0.34984670613872293,0.3453361634677447,0.026562815274232647,0.3099520587770317,0.4061112162230887
21,GBDT (experimental),35,0.33951884665392473,0.3350825045507463,0.027848637428703724,0.3007676027792396,0.4103453810023432
27,Global Poisson,30,0.41743454857163254,0.4118706930697773,0.03422502723014447,0.3524744753780207,0.4790491429439015
27,Rolling Poisson,30,0.4174046753126378,0.41179754263707113,0.034237136909699845,0.3523871986087274,0.4787437126439131
27,Rolling Seasonal,30,0.41771443699992866,0.4116718183021873,0.034697977885560824,0.3523866384131232,0.4792482011941375
27,Personalized Gamma-Poisson,30,0.38349501386964546,0.3743077695815519,0.033344572277928995,0.3230444315531238,0.4434812743412358
27,Scaled-baseline Hawkes,30,0.3834950139977283,0.3743077697190885,0.03334457206036549,0.3230444316115139,0.4434812736552781
