interval_start,train_end,test_start,test_end,test_rows,Global Poisson,Rolling Poisson,Rolling Seasonal,Personalized Gamma-Poisson,Scaled-baseline Hawkes,Scaled-baseline Hawkes_alpha_norm,Scaled-baseline Hawkes_c,Scaled-baseline Hawkes_m_u_mean,Joint Hawkes (λ_u + α),Joint Hawkes (λ_u + α)_alpha_norm,Joint Hawkes (λ_u + α)_m_u_mean,Joint Hawkes (λ_u + α)_lambda_median,Pooled Hawkes (c·b_t + α^T s),Pooled Hawkes (c·b_t + α^T s)_alpha_norm,Pooled Hawkes (c·b_t + α^T s)_c,Pooled Hawkes (c·b_t + α^T s)_m_u_mean,GBDT (experimental),n_days,m_idx
2025-01-22,2025-01-31,2025-02-01,2025-02-05,45492,0.3409082016068544,0.3409077761618347,0.3412493726368153,0.31724193711904825,0.3172419371146086,0.0,0.9999999850749044,0.977556559547047,0.3063207577956113,0.054563880984265824,0.7935599029183416,0.5706173055596722,0.2986025418833714,0.08271761914220233,0.31007030331531077,0.31007030331531077,0.29320738604212326,15,0
2025-01-29,2025-02-07,2025-02-08,2025-02-12,46187,0.3647784883987659,0.3644769893024209,0.36450622863323234,0.3399523661910891,0.33995236603661616,0.0,1.0000000248754002,0.9949059432929923,0.32543262666892714,0.05447104093138491,0.7911785539910609,0.5644983651309561,0.318909463215192,0.0782863497677927,0.2952906543183412,0.2952906543183412,0.3116889235864359,15,1
2025-02-02,2025-02-11,2025-02-12,2025-02-16,46463,0.37751963724373344,0.3770918998982747,0.3770360989508879,0.35965824061115487,0.3596582407238265,0.0,0.9999998835588116,1.0334689646761257,0.3433831062305375,0.058775974935084165,0.7987662132648429,0.5651220077757858,0.3374033900041672,0.08002416761884204,0.31032826662382745,0.31032826662382745,0.3310667694362972,15,2
2025-02-14,2025-02-23,2025-02-24,2025-02-28,47059,0.38147481557752744,0.3815198920614226,0.3819197793899134,0.35635756570346483,0.3563575655106319,0.0,1.0000000418062898,0.9998454702521694,0.34102515520369636,0.06292711086920796,0.774548796822682,0.5155770645609852,0.3331260713714337,0.07706444603087131,0.30927857633711653,0.30927857633711653,0.32396546952833033,15,3
2025-02-21,2025-03-02,2025-03-03,2025-03-07,47267,0.37936223629505716,0.3794557894719135,0.37983918347238294,0.3602408037150937,0.3602408054677044,0.0,1.0000002340947798,1.0323938747798524,0.3415489894891426,0.06359450082714954,0.7695704324586351,0.5156816176623801,0.3352737256394516,0.08702519383243686,0.3032848213050048,0.3032848213050048,0.329356465345448,15,4
2025-03-02,2025-03-11,2025-03-12,2025-03-16,47514,0.40965063998961376,0.40974152478594245,0.41213333300011373,0.37633654481873285,0.3763365440384126,0.0,1.0000000435171605,0.9796182827958919,0.3634827776511985,0.051697671696038304,0.7643456330981607,0.5015648417323808,0.3552594567117409,0.07450994414247535,0.3019514089115691,0.3019514089115691,0.34045151516349176,15,5
2025-03-07,2025-03-16,2025-03-17,2025-03-21,47677,0.3723585182460761,0.37261362289222383,0.3729746277347799,0.3452800451081925,0.34528004093065096,0.0,0.9999996220555357,1.0184719785433698,0.3294052858686309,0.05526529187024472,0.7664562850617095,0.5023930193392243,0.3214372418077176,0.0789943121769258,0.3013225887913763,0.3013225887913763,0.31344229603278967,15,6
2025-03-18,2025-03-27,2025-03-28,2025-04-01,47964,0.36356283737270956,0.3637209160171096,0.36336617553994377,0.33787800855807304,0.3378780084366234,0.0,1.0000000209410502,0.9509432558059787,0.3236637810882154,0.05688621328893232,0.7458408466934078,0.4970234953754107,0.3181090253083807,0.08317834601030315,0.2775096836527306,0.2775096836527306,0.30582643505067436,15,7
2025-03-21,2025-03-30,2025-03-31,2025-04-04,48014,0.360109668886796,0.36022212927819364,0.3602259134597297,0.3375851462714578,0.33758514639238857,0.0,0.9999999871975507,0.9601894874067917,0.3206949118120991,0.053804727276909506,0.7572838566106066,0.5085862044152155,0.3133265254741649,0.08153466757257313,0.29573902958597653,0.29573902958597653,0.3041294782074619,15,8
2025-03-26,2025-04-04,2025-04-05,2025-04-09,48110,0.36634657716957114,0.36630446706158587,0.36685881710808504,0.3337070863177137,0.3337070864918579,0.0,1.0000000294941727,0.9803700135062977,0.3257929476650937,0.055211678622489005,0.7731167124790168,0.5356149116723922,0.3191793557701805,0.0770155207964753,0.29416838855684735,0.29416838855684735,0.3041929517493231,15,9
