window_idx,start,target,source,alpha,lam_u_mean
0,2025-01-31,searches,searches,0.09894394447150151,0.7716881200713541
0,2025-01-31,searches,to_cart,0.01655615721696597,0.7716881200713541
0,2025-01-31,searches,to_ord,0.0,0.7716881200713541
0,2025-01-31,to_cart,searches,0.007681775356026876,0.7830019846117316
0,2025-01-31,to_cart,to_cart,0.06602782623428291,0.7830019846117316
0,2025-01-31,to_cart,to_ord,0.0,0.7830019846117316
0,2025-01-31,to_ord,searches,0.00333179617726321,0.680992630167333
0,2025-01-31,to_ord,to_cart,0.005615492012898176,0.680992630167333
0,2025-01-31,to_ord,to_ord,0.03708166983570428,0.680992630167333
1,2025-02-01,searches,searches,0.10168357828280461,0.7564297743599471
1,2025-02-01,searches,to_cart,0.020179878313289615,0.7564297743599471
1,2025-02-01,searches,to_ord,0.0,0.7564297743599471
1,2025-02-01,to_cart,searches,0.011083027190175872,0.7388214869183284
1,2025-02-01,to_cart,to_cart,0.06406829613503044,0.7388214869183284
1,2025-02-01,to_cart,to_ord,0.0,0.7388214869183284
1,2025-02-01,to_ord,searches,0.003378859552095233,0.6691077774116592
1,2025-02-01,to_ord,to_cart,0.004763895198126514,0.6691077774116592
1,2025-02-01,to_ord,to_ord,0.041793384257027694,0.6691077774116592
2,2025-02-22,searches,searches,0.10032499243415587,0.7751678595914957
2,2025-02-22,searches,to_cart,0.014111248347270343,0.7751678595914957
2,2025-02-22,searches,to_ord,0.0,0.7751678595914957
2,2025-02-22,to_cart,searches,0.011940724384927453,0.7337289529240874
2,2025-02-22,to_cart,to_cart,0.06510166736688594,0.7337289529240874
2,2025-02-22,to_cart,to_ord,0.0,0.7337289529240874
2,2025-02-22,to_ord,searches,0.0031507193274857466,0.6897117501147274
2,2025-02-22,to_ord,to_cart,0.004491171485744978,0.6897117501147274
2,2025-02-22,to_ord,to_ord,0.04230744665273882,0.6897117501147274
3,2025-04-05,searches,searches,0.0970957231995093,0.7827971419047808
3,2025-04-05,searches,to_cart,0.015715433770585013,0.7827971419047808
3,2025-04-05,searches,to_ord,0.0,0.7827971419047808
3,2025-04-05,to_cart,searches,0.011458843973686529,0.7516422419560611
3,2025-04-05,to_cart,to_cart,0.05872510668776658,0.7516422419560611
3,2025-04-05,to_cart,to_ord,0.0,0.7516422419560611
3,2025-04-05,to_ord,searches,0.003614553782272726,0.6882897649394815
3,2025-04-05,to_ord,to_cart,0.004474114514169463,0.6882897649394815
3,2025-04-05,to_ord,to_ord,0.04115136403587473,0.6882897649394815
4,2025-04-06,searches,searches,0.09832405782975652,0.7764444271660242
4,2025-04-06,searches,to_cart,0.017258788687438482,0.7764444271660242
4,2025-04-06,searches,to_ord,0.0,0.7764444271660242
4,2025-04-06,to_cart,searches,0.0115478367327287,0.7427678435745555
4,2025-04-06,to_cart,to_cart,0.0653151712291797,0.7427678435745555
4,2025-04-06,to_cart,to_ord,0.0,0.7427678435745555
4,2025-04-06,to_ord,searches,0.003826617025798752,0.687428680094841
4,2025-04-06,to_ord,to_cart,0.0046757232177278875,0.687428680094841
4,2025-04-06,to_ord,to_ord,0.04079742616163782,0.687428680094841
5,2025-05-15,searches,searches,0.09801921742089846,0.7807855977812468
5,2025-05-15,searches,to_cart,0.0205541006488457,0.7807855977812468
5,2025-05-15,searches,to_ord,0.0,0.7807855977812468
5,2025-05-15,to_cart,searches,0.01240021067900516,0.7554107584300929
5,2025-05-15,to_cart,to_cart,0.06191332476600138,0.7554107584300929
5,2025-05-15,to_cart,to_ord,0.0,0.7554107584300929
5,2025-05-15,to_ord,searches,0.004312271118383339,0.702818081271151
5,2025-05-15,to_ord,to_cart,0.005193864931311541,0.702818081271151
5,2025-05-15,to_ord,to_ord,0.034701864156896224,0.702818081271151
6,2025-05-26,searches,searches,0.10488139769568493,0.761369948958118
6,2025-05-26,searches,to_cart,0.021565857286181225,0.761369948958118
6,2025-05-26,searches,to_ord,0.0,0.761369948958118
6,2025-05-26,to_cart,searches,0.014197969618000638,0.7246219071675003
6,2025-05-26,to_cart,to_cart,0.06757074096190026,0.7246219071675003
6,2025-05-26,to_cart,to_ord,0.0,0.7246219071675003
6,2025-05-26,to_ord,searches,0.004830668823451498,0.6888537798877565
6,2025-05-26,to_ord,to_cart,0.0046494658358235295,0.6888537798877565
6,2025-05-26,to_ord,to_ord,0.03710938045680514,0.6888537798877565
7,2025-06-05,searches,searches,0.1034696598879597,0.7691353702868969
7,2025-06-05,searches,to_cart,0.022864490447485005,0.7691353702868969
7,2025-06-05,searches,to_ord,0.0,0.7691353702868969
7,2025-06-05,to_cart,searches,0.01283060072110109,0.7301910775737969
7,2025-06-05,to_cart,to_cart,0.0702105016670662,0.7301910775737969
7,2025-06-05,to_cart,to_ord,0.0,0.7301910775737969
7,2025-06-05,to_ord,searches,0.00464284295203319,0.7027372829489024
7,2025-06-05,to_ord,to_cart,0.005198655211726318,0.7027372829489024
7,2025-06-05,to_ord,to_ord,0.034136106425380494,0.7027372829489024
8,2025-06-24,searches,searches,0.10794133720316469,0.7605930561638738
8,2025-06-24,searches,to_cart,0.02386505607840115,0.7605930561638738
8,2025-06-24,searches,to_ord,0.0,0.7605930561638738
8,2025-06-24,to_cart,searches,0.013333944058501645,0.7615229899058721
8,2025-06-24,to_cart,to_cart,0.06490100678671111,0.7615229899058721
8,2025-06-24,to_cart,to_ord,0.0,0.7615229899058721
8,2025-06-24,to_ord,searches,0.004186773456147491,0.7292193671842837
8,2025-06-24,to_ord,to_cart,0.005550891366731026,0.7292193671842837
8,2025-06-24,to_ord,to_ord,0.038030313444053554,0.7292193671842837
9,2025-07-21,searches,searches,0.10900297246768037,0.7596609858901278
9,2025-07-21,searches,to_cart,0.023683689241728274,0.7596609858901278
9,2025-07-21,searches,to_ord,0.0,0.7596609858901278
9,2025-07-21,to_cart,searches,0.012728869049455378,0.7492271368490534
9,2025-07-21,to_cart,to_cart,0.06721254799125109,0.7492271368490534
9,2025-07-21,to_cart,to_ord,0.0,0.7492271368490534
9,2025-07-21,to_ord,searches,0.004201005604653818,0.7200846721430807
9,2025-07-21,to_ord,to_cart,0.006562879830264045,0.7200846721430807
9,2025-07-21,to_ord,to_ord,0.0356574980018323,0.7200846721430807
