block_idx,block_label,block_start,block_end,test_rows,test_target_mean,Global Poisson,Rolling Poisson,Rolling Seasonal,Personalized Gamma-Poisson,Scaled-baseline Hawkes,GBDT (experimental),Joint Hawkes (λ_u + α),Pooled Hawkes (c·b_t + α^T s)
0,2025-01-15..2025-02-04,2025-01-15,2025-02-04,63410,0.0851285286232455,0.3356762392707844,0.3355668834436823,0.335652012110862,0.3033480680814712,0.3033480681205854,0.2906290905845199,0.2987812731991799,0.2963601977432598
1,2025-02-05..2025-02-25,2025-02-05,2025-02-25,65656,0.0981174607042768,0.373022970425396,0.3730201207210079,0.3732712769123869,0.3456174730938772,0.3456174729121749,0.3210120569452457,0.3344326141913159,0.3298553233953532
2,2025-02-26..2025-03-18,2025-02-26,2025-03-18,66568,0.1048101189760846,0.3983075269182275,0.3985050952533083,0.399337882287446,0.3575888537058479,0.3575888550747932,0.3329754270818245,0.3507029647074334,0.3453361634677447
3,2025-03-19..2025-04-08,2025-03-19,2025-04-08,67301,0.094114500527481,0.3642266719669886,0.3642243522419442,0.3643149475189657,0.3261334696697034,0.3261334696560949,0.303241738468867,0.3193212993873456,0.3147888872725872
4,2025-04-09..2025-04-29,2025-04-09,2025-04-29,67917,0.1026988824594725,0.38678477854167,0.3867497664687947,0.3868098657831332,0.3508481643761684,0.3508481644001412,0.3251705872188842,0.3416292370274226,0.3364445342153446
5,2025-04-30..2025-05-20,2025-04-30,2025-05-20,68426,0.1080144974132639,0.400287750063143,0.3999423330274916,0.3997806392198045,0.3699372954970784,0.3699372956200205,0.3419354041562902,0.3559740859124786,0.3524899990393528
6,2025-05-21..2025-06-10,2025-05-21,2025-06-10,68776,0.1057345585669419,0.3941367577855277,0.3941311041616032,0.3938467113132929,0.3638025648086821,0.3638025656666771,0.3367070882359383,0.3512138098973598,0.3459878034318195
7,2025-06-11..2025-07-01,2025-06-11,2025-07-01,68950,0.1120232052211747,0.4112945726298143,0.4113497495681514,0.4113376351444318,0.3752089888752014,0.3752089887748289,0.3460219306506263,0.3647496976990958,0.3581358020805456
8,2025-07-02..2025-07-22,2025-07-02,2025-07-22,69151,0.1172072710445257,0.4258264037653587,0.4257673004454052,0.4256848604707964,0.3970007457533599,0.3970007457474662,0.3640832475927616,0.3840624794950862,0.3747778380117587
9,2025-07-23..2025-08-12,2025-07-23,2025-08-12,69271,0.1224177505738332,0.4373097638120233,0.436952961910359,0.4369002348141934,0.4049836591812406,0.4049836593462223,0.3756879474114947,0.3946732261675599,0.3859766400582949
10,2025-08-13..2025-09-02,2025-08-13,2025-09-02,69226,0.1264553780371536,0.451369919933677,0.4513873807300401,0.4514787500141836,0.417165827721627,0.4171658274978418,0.3870005745483594,0.4088074527246156,0.3999532526042175
11,2025-09-03..2025-09-23,2025-09-03,2025-09-23,68866,0.1295414282810095,0.4521178644914553,0.4520919044815678,0.4521589461206913,0.4215123001305136,0.4215123004900623,0.3906748363659896,0.4152183761943565,0.4023841118162731
12,2025-09-24..2025-10-14,2025-09-24,2025-10-14,67232,0.1192289386006663,0.4272331594044615,0.4284592580662107,0.4302546020412951,0.3961876234408096,0.3961876265752917,0.3699345438885815,0.3995231399917012,0.3842984663098139
