block_idx,setting,test_nll,fitted_alpha,fitted_beta
0,(1) refit α≥0 (current),0.30334806808147124,0.33370223047003383,0.3487157931159913
0,"(2) frozen 207d (α=0.8774,β=0.8808)",0.29769045982774406,0.8774,0.8808
0,(3) refit with α≥1,0.2976811427902808,1.0,1.0455776993534784
0,"(4) α=1 fixed, β refit",0.2976811427177259,1.0,1.0455775486133703
0,(5) α=β=0.5 fixed,0.2998452134702569,0.5,0.5
0,(6) α=β=2 fixed,0.30049466985814205,2.0,2.0
1,(1) refit α≥0 (current),0.34561747309387725,0.34854770111124866,0.335253707265086
1,"(2) frozen 207d (α=0.8774,β=0.8808)",0.33673351250083255,0.8774,0.8808
1,(3) refit with α≥1,0.3363681181835129,1.0,0.9622396021851232
1,"(4) α=1 fixed, β refit",0.33636811833788594,1.0,0.9622395192607583
1,(5) α=β=0.5 fixed,0.34096896980183794,0.5,0.5
1,(6) α=β=2 fixed,0.33751171964957627,2.0,2.0
2,(1) refit α≥0 (current),0.3575888537058479,0.34622848919762894,0.34811732040489296
2,"(2) frozen 207d (α=0.8774,β=0.8808)",0.3500518938108121,0.8774,0.8808
2,(3) refit with α≥1,0.34986709312570646,1.0,1.005451086746273
2,"(4) α=1 fixed, β refit",0.3498670931800189,1.0,1.0054511145677596
2,(5) α=β=0.5 fixed,0.3533857467787327,0.5,0.5
2,(6) α=β=2 fixed,0.3525524604260812,2.0,2.0
3,(1) refit α≥0 (current),0.3261334696697034,0.33230609977940534,0.33986902697068766
3,"(2) frozen 207d (α=0.8774,β=0.8808)",0.3186064196428534,0.8774,0.8808
3,(3) refit with α≥1,0.31844498932409493,1.0,1.022566245544861
3,"(4) α=1 fixed, β refit",0.31844498932769083,1.0,1.0225662626708554
3,(5) α=β=0.5 fixed,0.32168521780609277,0.5,0.5
3,(6) α=β=2 fixed,0.32100684015617653,2.0,2.0
4,(1) refit α≥0 (current),0.35084816437616845,0.356183948533035,0.3512995034757251
4,"(2) frozen 207d (α=0.8774,β=0.8808)",0.3427992870047553,0.8774,0.8808
4,(3) refit with α≥1,0.3424680035959807,1.0,0.9864640266915544
4,"(4) α=1 fixed, β refit",0.34246800356213647,1.0,0.9864639281258241
4,(5) α=β=0.5 fixed,0.34669501079862003,0.5,0.5
4,(6) α=β=2 fixed,0.3444007339949781,2.0,2.0
5,(1) refit α≥0 (current),0.36993729549707843,0.3175265581184351,0.3227462254705441
5,"(2) frozen 207d (α=0.8774,β=0.8808)",0.35762410924295657,0.8774,0.8808
5,(3) refit with α≥1,0.3570984785283718,1.0,1.0166663982106736
5,"(4) α=1 fixed, β refit",0.35709847864847144,1.0,1.0166664283827607
5,(5) α=β=0.5 fixed,0.36280662486213594,0.5,0.5
5,(6) α=β=2 fixed,0.35792619023418304,2.0,2.0
6,(1) refit α≥0 (current),0.36380256480868217,0.34299342227891033,0.348950657078406
6,"(2) frozen 207d (α=0.8774,β=0.8808)",0.35308383493324386,0.8774,0.8808
6,(3) refit with α≥1,0.3524804573988851,1.0,1.0173433293444647
6,"(4) α=1 fixed, β refit",0.3524804574119569,1.0,1.0173433406060453
6,(5) α=β=0.5 fixed,0.3582610489138594,0.5,0.5
6,(6) α=β=2 fixed,0.35293994721255034,2.0,2.0
7,(1) refit α≥0 (current),0.3752089888752014,0.3749524957434674,0.37132156251402043
7,"(2) frozen 207d (α=0.8774,β=0.8808)",0.3664589440203117,0.8774,0.8808
7,(3) refit with α≥1,0.36595098222038425,1.0,0.9902293286718488
7,"(4) α=1 fixed, β refit",0.3659509822319821,1.0,0.990229297104149
7,(5) α=β=0.5 fixed,0.3712672708219812,0.5,0.5
7,(6) α=β=2 fixed,0.3671509285683093,2.0,2.0
8,(1) refit α≥0 (current),0.3970007457533599,0.3727470877819025,0.3642036212739555
8,"(2) frozen 207d (α=0.8774,β=0.8808)",0.3862536842824597,0.8774,0.8808
8,(3) refit with α≥1,0.3854794452484828,1.0,0.9779830048616105
8,"(4) α=1 fixed, β refit",0.38547944535221024,1.0,0.9779829186455933
8,(5) α=β=0.5 fixed,0.3923100243170269,0.5,0.5
8,(6) α=β=2 fixed,0.38520043986601415,2.0,2.0
9,(1) refit α≥0 (current),0.40498365918124063,0.3921635274782702,0.3928055634523962
9,"(2) frozen 207d (α=0.8774,β=0.8808)",0.39564267297187106,0.8774,0.8808
9,(3) refit with α≥1,0.39494377697403615,1.0,1.001680736078048
9,"(4) α=1 fixed, β refit",0.39494377718932144,1.0,1.001680881017873
9,(5) α=β=0.5 fixed,0.40131254821304957,0.5,0.5
9,(6) α=β=2 fixed,0.3953046790526545,2.0,2.0
10,(1) refit α≥0 (current),0.417165827721627,0.40349522418133066,0.38985206724270954
10,"(2) frozen 207d (α=0.8774,β=0.8808)",0.4077678024963816,0.8774,0.8808
10,(3) refit with α≥1,0.40708999546199676,1.0,0.9660821668304378
10,"(4) α=1 fixed, β refit",0.4070899960271121,1.0,0.9660820455241456
10,(5) α=β=0.5 fixed,0.41385211245312314,0.5,0.5
10,(6) α=β=2 fixed,0.4064601425503741,2.0,2.0
11,(1) refit α≥0 (current),0.4215123001305136,0.4106979118931703,0.4054498633981926
11,"(2) frozen 207d (α=0.8774,β=0.8808)",0.4110894312107648,0.8774,0.8808
11,(3) refit with α≥1,0.41005102972218865,1.0,0.9872162700986123
11,"(4) α=1 fixed, β refit",0.4100510297090654,1.0,0.9872163313234514
11,(5) α=β=0.5 fixed,0.41815752052477884,0.5,0.5
11,(6) α=β=2 fixed,0.40867834562273936,2.0,2.0
12,(1) refit α≥0 (current),0.3961876234408096,0.43934286894830205,0.44399953956721877
