block_idx,block_label,test_start,test_end,test_rows,Personalized GP frozen-EB,frozen_alpha,frozen_beta,mu_post_mean,mu_post_median
0,2025-01-15..2025-02-04,2025-01-29,2025-02-04,63410,0.29769045982774406,0.8774,0.8808,0.9726968385117218,0.3976915865529565
1,2025-02-05..2025-02-25,2025-02-19,2025-02-25,65656,0.33673351250083255,0.8774,0.8808,1.0215599405487468,0.40544811139280185
2,2025-02-26..2025-03-18,2025-03-12,2025-03-18,66568,0.3500518938108121,0.8774,0.8808,0.9951770582636236,0.3806231249901472
3,2025-03-19..2025-04-08,2025-04-02,2025-04-08,67301,0.3186064196428534,0.8774,0.8808,0.9850490913955087,0.38908380541629123
4,2025-04-09..2025-04-29,2025-04-23,2025-04-29,67917,0.3427992870047553,0.8774,0.8808,1.0068123000751485,0.3907104525372704
5,2025-04-30..2025-05-20,2025-05-14,2025-05-20,68426,0.35762410924295657,0.8774,0.8808,0.9885171238363828,0.3881360616263854
6,2025-05-21..2025-06-10,2025-06-04,2025-06-10,68776,0.35308383493324386,0.8774,0.8808,0.9878529832115909,0.3694220311841069
7,2025-06-11..2025-07-01,2025-06-25,2025-07-01,68950,0.3664589440203117,0.8774,0.8808,1.00477923763021,0.3679415425227502
8,2025-07-02..2025-07-22,2025-07-16,2025-07-22,69151,0.3862536842824597,0.8774,0.8808,1.0129955193942408,0.3605329506069774
9,2025-07-23..2025-08-12,2025-08-06,2025-08-12,69271,0.39564267297187106,0.8774,0.8808,0.9975357253187653,0.35867813991906194
10,2025-08-13..2025-09-02,2025-08-27,2025-09-02,69226,0.4077678024963816,0.8774,0.8808,1.022343160525498,0.6966525106252592
11,2025-09-03..2025-09-23,2025-09-17,2025-09-23,68866,0.4110894312107648,0.8774,0.8808,1.0072736281569705,0.7177538648910183
12,2025-09-24..2025-10-14,2025-10-08,2025-10-14,67232,0.3887220323339568,0.8774,0.8808,0.9919590468657221,0.6957709777507052
