block_idx,Personalized GP frozen-EB,Personalized GP refit-EB,Personalized L2 standalone
0,0.29769045982774406,0.3033480680814712,0.3061843518163308
1,0.33673351250083255,0.3456174730938772,0.3440772804350752
2,0.3500518938108121,0.3575888537058479,0.3633917747073593
3,0.3186064196428534,0.3261334696697034,0.3298611545981192
4,0.3427992870047553,0.3508481643761684,0.3537262188538932
5,0.35762410924295657,0.3699372954970784,0.3696972719596708
6,0.35308383493324386,0.3638025648086821,0.3648440114887346
7,0.3664589440203117,0.3752089888752014,0.3787691273922118
8,0.3862536842824597,0.3970007457533599,0.3972958410161267
9,0.39564267297187106,0.4049836591812406,0.4082864434867305
10,0.4077678024963816,0.417165827721627,0.4295085798065818
11,0.4110894312107648,0.4215123001305136,0.4313462088386645
12,0.3887220323339568,0.3961876234408096,0.4120217246425793
