block_idx,block_label,setting_label,alpha_l2,scale_l2,personalized_nll,test_nll,learned_base_scale,alpha_l2_norm,fit_success,is_degenerate,delta_vs_personalized_nll,fit_seconds
0,2025-01-15..2025-02-04,"A: default (1e-4, 10.0)",0.0001,10.0,0.30334806808147124,0.3033480681205854,0.9999999818426906,0.0,True,True,3.911415635826643e-11,0.21190977096557617
0,2025-01-15..2025-02-04,"B: alpha_l2=0, scale_l2=10.0",0.0,10.0,0.30334806808147124,0.303348067824477,1.0000001193007408,0.0,True,True,-2.5699425920677754e-10,0.23009681701660156
0,2025-01-15..2025-02-04,"C: alpha_l2=1e-4, scale_l2=0.1",0.0001,0.1,0.30334806808147124,0.303348069579388,0.9999993046550545,0.0,True,True,1.4979167350936962e-09,0.21342706680297852
0,2025-01-15..2025-02-04,"D: alpha_l2=1e-4, scale_l2=0.0",0.0001,0.0,0.30334806808147124,0.3033480680995004,0.9999999916306365,0.0,True,True,1.8029133741492842e-11,0.21814417839050293
0,2025-01-15..2025-02-04,E: no regularization,0.0,0.0,0.30334806808147124,0.30334806810415627,0.9999999894693017,0.0,True,True,2.268502052871213e-11,0.21378397941589355
0,2025-01-15..2025-02-04,"F: warm-start from ch.6, no reg",0.0,0.0,0.30334806808147124,0.30334806808815534,0.9999999968971499,0.0,True,True,6.684097719755755e-12,0.17734694480895996
1,2025-02-05..2025-02-25,"A: default (1e-4, 10.0)",0.0001,10.0,0.34561747309387725,0.34561747291217493,0.9999999490503011,0.0,True,True,-1.8170231985692453e-10,0.21233391761779785
1,2025-02-05..2025-02-25,"B: alpha_l2=0, scale_l2=10.0",0.0,10.0,0.34561747309387725,0.345617472912175,0.9999999490503232,0.0,True,True,-1.817022643457733e-10,0.212738037109375
1,2025-02-05..2025-02-25,"C: alpha_l2=1e-4, scale_l2=0.1",0.0001,0.1,0.34561747309387725,0.3456174726096487,0.9999998642211815,0.0,True,True,-4.842285461492679e-10,0.21879315376281738
1,2025-02-05..2025-02-25,"D: alpha_l2=1e-4, scale_l2=0.0",0.0001,0.0,0.34561747309387725,0.34561747260671855,0.9999998633995612,0.0,True,True,-4.871587022670099e-10,0.2281818389892578
1,2025-02-05..2025-02-25,E: no regularization,0.0,0.0,0.34561747309387725,0.34561747260671866,0.9999998633995714,0.0,True,True,-4.871585912447074e-10,0.2177870273590088
1,2025-02-05..2025-02-25,"F: warm-start from ch.6, no reg",0.0,0.0,0.34561747309387725,0.34561747291801315,0.999999950687348,0.0,True,True,-1.7586410105963068e-10,0.18526721000671387
2,2025-02-26..2025-03-18,"A: default (1e-4, 10.0)",0.0001,10.0,0.3575888537058479,0.3575888550747932,0.9999997261203153,0.0,True,True,1.368945290458612e-09,0.21796298027038574
2,2025-02-26..2025-03-18,"B: alpha_l2=0, scale_l2=10.0",0.0,10.0,0.3575888537058479,0.35758885507479476,0.9999997261200012,0.0,True,True,1.3689468447708464e-09,0.21944403648376465
2,2025-02-26..2025-03-18,"C: alpha_l2=1e-4, scale_l2=0.1",0.0001,0.1,0.3575888537058479,0.3575888541179408,0.9999999175539845,0.0,True,True,4.1209285983612176e-10,0.22718596458435059
2,2025-02-26..2025-03-18,"D: alpha_l2=1e-4, scale_l2=0.0",0.0001,0.0,0.3575888537058479,0.3575888541179412,0.9999999175539058,0.0,True,True,4.120933039253316e-10,0.22498083114624023
2,2025-02-26..2025-03-18,E: no regularization,0.0,0.0,0.3575888537058479,0.3575888541179406,0.9999999175540164,0.0,True,True,4.1209269330266807e-10,0.2260301113128662
2,2025-02-26..2025-03-18,"F: warm-start from ch.6, no reg",0.0,0.0,0.3575888537058479,0.3575888540122152,0.9999999387061449,0.0,True,True,3.0636726489063904e-10,0.18681907653808594
3,2025-03-19..2025-04-08,"A: default (1e-4, 10.0)",0.0001,10.0,0.3261334696697034,0.32613346965609497,1.0000000178346538,0.0,True,True,-1.3608447702040394e-11,0.21844005584716797
3,2025-03-19..2025-04-08,"B: alpha_l2=0, scale_l2=10.0",0.0,10.0,0.3261334696697034,0.3261334696560948,1.0000000178348512,0.0,True,True,-1.3608614235494088e-11,0.21635699272155762
3,2025-03-19..2025-04-08,"C: alpha_l2=1e-4, scale_l2=0.1",0.0001,0.1,0.3261334696697034,0.3261334696560099,1.0000000179461932,0.0,True,True,-1.369349078572668e-11,0.21720099449157715
3,2025-03-19..2025-04-08,"D: alpha_l2=1e-4, scale_l2=0.0",0.0001,0.0,0.3261334696697034,0.3261334696559812,1.0000000179837347,0.0,True,True,-1.3722190050913241e-11,0.21905303001403809
3,2025-03-19..2025-04-08,E: no regularization,0.0,0.0,0.3261334696697034,0.3261334696559811,1.0000000179839106,0.0,True,True,-1.3722301073215704e-11,0.2187509536743164
3,2025-03-19..2025-04-08,"F: warm-start from ch.6, no reg",0.0,0.0,0.3261334696697034,0.32613346965620915,1.0000000176850474,0.0,True,True,-1.3494261263957696e-11,0.18756413459777832
4,2025-04-09..2025-04-29,"A: default (1e-4, 10.0)",0.0001,10.0,0.35084816437616845,0.3508481644001412,0.9999999679662719,0.0,True,True,2.397276821497485e-11,0.21556401252746582
4,2025-04-09..2025-04-29,"B: alpha_l2=0, scale_l2=10.0",0.0,10.0,0.35084816437616845,0.3508481644001412,0.9999999679662476,0.0,True,True,2.397276821497485e-11,0.21662187576293945
4,2025-04-09..2025-04-29,"C: alpha_l2=1e-4, scale_l2=0.1",0.0001,0.1,0.35084816437616845,0.3508481643803745,0.9999999943795674,0.0,True,True,4.2060799287924056e-12,0.21543335914611816
4,2025-04-09..2025-04-29,"D: alpha_l2=1e-4, scale_l2=0.0",0.0001,0.0,0.35084816437616845,0.3508481643803777,0.9999999943753476,0.0,True,True,4.209244064412587e-12,0.21548891067504883
4,2025-04-09..2025-04-29,E: no regularization,0.0,0.0,0.35084816437616845,0.35084816438037764,0.9999999943754605,0.0,True,True,4.209188553261356e-12,0.21395206451416016
4,2025-04-09..2025-04-29,"F: warm-start from ch.6, no reg",0.0,0.0,0.35084816437616845,0.35084816437916183,0.9999999960000697,0.0,True,True,2.993383318994347e-12,0.18343305587768555
5,2025-04-30..2025-05-20,"A: default (1e-4, 10.0)",0.0001,10.0,0.36993729549707843,0.36993729562002053,0.9999999871522577,0.0,True,True,1.2294210094410118e-10,0.2458047866821289
5,2025-04-30..2025-05-20,"B: alpha_l2=0, scale_l2=10.0",0.0,10.0,0.36993729549707843,0.3699372955600196,0.9999999934225066,0.0,True,True,6.294115229010799e-11,0.24066710472106934
5,2025-04-30..2025-05-20,"C: alpha_l2=1e-4, scale_l2=0.1",0.0001,0.1,0.36993729549707843,0.36993729585179763,0.999999962931011,0.0,True,True,3.5471919845875277e-10,0.22325992584228516
5,2025-04-30..2025-05-20,"D: alpha_l2=1e-4, scale_l2=0.0",0.0001,0.0,0.36993729549707843,0.36993729561035593,0.9999999881622375,0.0,True,True,1.1327749849243673e-10,0.23530292510986328
5,2025-04-30..2025-05-20,E: no regularization,0.0,0.0,0.36993729549707843,0.3699372950564848,1.0000000460430758,0.0,True,True,-4.405936171458791e-10,0.24021410942077637
5,2025-04-30..2025-05-20,"F: warm-start from ch.6, no reg",0.0,0.0,0.36993729549707843,0.3699372943049386,1.0000001245815056,0.0,True,True,-1.1921398312964016e-09,0.19068002700805664
6,2025-05-21..2025-06-10,"A: default (1e-4, 10.0)",0.0001,10.0,0.36380256480868217,0.3638025656666771,0.9999997251131315,0.0,True,True,8.579949528630948e-10,0.20742297172546387
6,2025-05-21..2025-06-10,"B: alpha_l2=0, scale_l2=10.0",0.0,10.0,0.36380256480868217,0.36380256566667724,0.9999997251131023,0.0,True,True,8.579950638853973e-10,0.20914816856384277
6,2025-05-21..2025-06-10,"C: alpha_l2=1e-4, scale_l2=0.1",0.0001,0.1,0.36380256480868217,0.3638025650560974,0.9999999207321373,0.0,True,True,2.474152549503117e-10,0.21699810028076172
6,2025-05-21..2025-06-10,"D: alpha_l2=1e-4, scale_l2=0.0",0.0001,0.0,0.36380256480868217,0.3638025650560818,0.9999999207371617,0.0,True,True,2.473996008056645e-10,0.22019314765930176
6,2025-05-21..2025-06-10,E: no regularization,0.0,0.0,0.36380256480868217,0.36380256505608144,0.9999999207372476,0.0,True,True,2.473992677387571e-10,0.21830296516418457
6,2025-05-21..2025-06-10,"F: warm-start from ch.6, no reg",0.0,0.0,0.36380256480868217,0.363802565045594,0.9999999240972524,0.0,True,True,2.369118234923917e-10,0.1925816535949707
7,2025-06-11..2025-07-01,"A: default (1e-4, 10.0)",0.0001,10.0,0.3752089888752014,0.37520898877482894,0.9999998872658201,0.0,True,True,-1.0037243258764761e-10,0.21904277801513672
