user_id,ll_personalized_poisson,ll_global_scaled_hawkes,ll_user_scale_hawkes,test_purchases
59,-14.687319241571945,-13.341798699945464,-13.078130450466444,2.0
137,-5.774783782284581,-5.686096440183321,-5.23620935140421,1.0
267,-2.9999202620151957,-2.5882837876502034,-2.8155418377634467,0.0
306,-26.63875158266729,-26.586201516269497,-27.07767627414304,6.0
341,-11.778165553171661,-11.379880685294049,-11.602603138426396,2.0
418,-9.471951318181034,-7.84044932958452,-7.925573417410091,2.0
801,-2.088772687414786,-2.619330504948346,-2.0107534161997966,0.0
961,-3.911067836615605,-3.5459524124738415,-2.586518028708824,0.0
996,-44.55057546920792,-45.83874356629718,-45.34105421441982,17.0
1042,-0.6250334561147853,-0.5399010895299644,-0.029735634670190005,0.0
1160,-26.550353115128022,-25.10826665529552,-25.070310628166244,9.0
1267,-6.439775386085863,-5.930001212815217,-5.869692699481705,1.0
1353,-1.7850568292146498,-3.502127346568811,-2.5455879332078997,0.0
1378,-7.5379089290637165,-7.3590332511211285,-7.422958881909019,1.0
1553,-32.598627536875796,-33.21401754644604,-33.31724684669131,13.0
1748,-23.877590651471593,-23.26112745441034,-23.845582627690952,7.0
1881,-1.4885543858120807,-1.3801752668430078,-1.1828845251472542,0.0
1887,-17.68887449928371,-18.051113270754012,-18.148373171695702,5.0
1933,-26.213978311673323,-25.974084358810767,-28.129264249743027,8.0
2209,-8.63400447097368,-8.720067072387744,-8.735981924644257,2.0
2232,-44.16006410991499,-44.459572943467975,-44.61460519380878,16.0
2249,-5.8609970023514695,-5.762465436995808,-5.960213749738435,1.0
2293,-16.929521109861703,-17.585763437643603,-17.585763437643603,6.0
2340,-4.969887973140411,-5.174452847264926,-5.2205382149095305,1.0
2596,-22.73923454650528,-22.772890300808662,-27.2090086997127,4.0
2647,-28.638014556680233,-28.539641501175915,-28.999112612412613,9.0
2740,-4.874564710645547,-4.972610298676405,-4.954896119332927,1.0
2807,-8.861711304089756,-8.07024847267031,-8.137838527257463,1.0
2812,-11.9321917419481,-12.25293262951038,-12.187974728899537,3.0
2873,-4.2147836948157416,-3.931958632146926,-3.269710333904842,0.0
3001,-124.43414258936586,-122.15535530483102,-120.51614668776011,85.0
3042,-7.630290971663316,-7.288934647845318,-7.263603154972229,1.0
3325,-14.51324223772237,-13.283826112873296,-13.283743300290686,4.0
3367,-15.819124878463025,-14.89402698501457,-15.323545909162922,3.0
3485,-29.520517462429126,-28.519753389724684,-29.137180383670135,9.0
3552,-3.607351978415468,-3.3414957264831364,-2.6936553005606902,0.0
3631,-2.3924885456149223,-2.0993460222025804,-1.3428419933568507,0.0
3733,-16.68064730925622,-16.54769747654299,-16.919110478921457,4.0
