user_id,ll_personalized_poisson,ll_experimental_1_hawkes,test_purchases,ll_user_scale_hawkes
59,-14.687319241571943,-13.373193930581875,2.0,-13.078130450466444
137,-5.774783782284581,-5.697978744955249,1.0,-5.23620935140421
267,-2.9999202620151957,-2.612723763933891,0.0,-2.8155418377634467
306,-26.63875158266729,-26.70184236118765,6.0,-27.07767627414304
341,-11.77816555317166,-11.40503441943066,2.0,-11.602603138426396
418,-9.471951318181034,-7.82858256351984,2.0,-7.925573417410091
801,-2.088772687414786,-2.6242640876370564,0.0,-2.0107534161997966
961,-3.911067836615605,-3.5768324883163123,0.0,-2.586518028708824
996,-44.55057546920792,-45.86666929670018,17.0,-45.34105421441982
1042,-0.6250334561147853,-0.5458665012413171,0.0,-0.02973563467019
1160,-26.550353115128026,-25.10797475785918,9.0,-25.070310628166244
1267,-6.439775386085863,-5.956727046211585,1.0,-5.869692699481705
1353,-1.7850568292146498,-3.496636491959175,0.0,-2.5455879332078997
1378,-7.5379089290637165,-7.3655821667671635,1.0,-7.422958881909019
1553,-32.598627536875796,-33.211845862744305,13.0,-33.31724684669131
1748,-23.877590651471593,-23.27013920897159,7.0,-23.845582627690952
1881,-1.4885543858120809,-1.3937783186249644,0.0,-1.1828845251472542
1887,-17.68887449928371,-18.06233927025952,5.0,-18.148373171695702
1933,-26.213978311673323,-26.05349064742433,8.0,-28.129264249743027
2209,-8.63400447097368,-8.716352746765974,2.0,-8.735981924644257
2232,-44.16006410991499,-44.47677915565906,16.0,-44.61460519380878
2249,-5.8609970023514695,-5.767848935919439,1.0,-5.960213749738435
2293,-16.929521109861703,-17.5246582361182,6.0,-17.585763437643603
2340,-4.969887973140411,-5.167551789398865,1.0,-5.2205382149095305
2596,-22.73923454650528,-22.720639970660564,4.0,-27.2090086997127
2647,-28.638014556680233,-28.5534224813659,9.0,-28.999112612412613
2740,-4.874564710645547,-4.968432798682659,1.0,-4.954896119332927
2807,-8.861711304089756,-8.11645901297036,1.0,-8.137838527257463
2812,-11.9321917419481,-12.254562298314992,3.0,-12.187974728899537
2873,-4.2147836948157416,-3.955178829140212,0.0,-3.269710333904842
3001,-124.43414258936586,-122.04105845512032,85.0,-120.51614668776013
3042,-7.630290971663316,-7.293115185530692,1.0,-7.263603154972229
3325,-14.51324223772237,-13.25845352835191,4.0,-13.283743300290686
3367,-15.819124878463024,-14.87841970600366,3.0,-15.323545909162922
3485,-29.52051746242913,-28.568602570997307,9.0,-29.137180383670135
3552,-3.607351978415468,-3.36107252300983,0.0,-2.6936553005606902
3631,-2.3924885456149223,-2.1311500707295807,0.0,-1.3428419933568507
3733,-16.68064730925622,-16.559115721764883,4.0,-16.919110478921457
3761,-2.3924885456149223,-2.217788252803767,0.0,-2.000557729228355
3774,-2.797533821828502,-2.3735364368832808,0.0,-1.9880241205810865
3883,-8.818588366347269,-8.626464167921355,2.0,-8.590104266583054
3896,-28.165199583359534,-28.542234530080783,8.0,-28.6613268824571
3905,-24.353507360308427,-25.746924171866898,4.0,-52.82209624759389
3952,-27.143442819804175,-27.575564331557555,8.0,-27.58300865212713
3955,-17.42636336177284,-15.350054919321384,4.0,-16.68483253449958
3956,-21.921513250965788,-21.374795106699786,7.0,-21.42935733582725
3979,-5.988400958606176,-5.765885761271051,1.0,-5.852416420549015
4073,-22.485901735724973,-22.317875844803915,6.0,-22.208286547604818
4344,-2.9999202620151957,-2.770664502246164,0.0,-2.6037964701125387
4453,-5.277973242871076,-5.365700382046011,1.0,-5.2186193387605755
4650,-28.56507576878199,-26.53470364036853,7.0,-26.789351193944515
4711,-39.259679225078074,-39.20542938964122,17.0,-39.20999532859246
4730,-101.8603591529457,-96.99751026345967,32.0,-96.2658151176508
4753,-12.389515549309428,-13.039726043327136,3.0,-13.317213912996952
4892,-11.669179003334763,-12.074510651252712,3.0,-12.042826804230764
5010,-40.53520015067958,-41.01259006227334,17.0,-40.94443611393406
5020,-30.2030412718843,-29.330891396073444,10.0,-29.368860136680222
5043,-12.630130779639511,-13.488709499020064,3.0,-13.8610490689288
5120,-6.5210370084587606,-6.289657850506733,1.0,-6.543174012057652
5331,-19.400186661301863,-19.8295654057123,5.0,-20.433042877079217
5340,-31.696198026658017,-30.919682100261365,11.0,-30.866939141225007
5552,-40.22918530332982,-38.88060200744546,12.0,-39.03556961977397
5568,-18.84248702587036,-17.704949361409785,5.0,-18.054953760838693
5761,-10.563628095559404,-10.38502514454858,2.0,-10.19515084446806
5867,-29.168185744729485,-30.207959924552867,7.0,-31.55259814317508
5887,-5.5060413400389585,-5.230587412561636,1.0,-4.9972514806658515
5912,-34.623289815674035,-35.278878299266424,13.0,-35.833245340707585
5932,-5.133080292239298,-5.2256708102250355,1.0,-5.209576758568229
6321,-12.18815544095702,-12.680993880612109,3.0,-12.863734578922005
6350,-45.44070525746752,-45.599279735157126,20.0,-46.060118495419
6411,-1.177625112814377,-1.1096979680737775,0.0,-1.0189647345646389
6442,-17.789061651299,-17.559930474890333,5.0,-17.87148358630884
6713,-9.684178208595084,-10.275230915750146,2.0,-10.70085868001833
6977,-6.644510560416832,-5.576137591322089,0.0,-6.370325094863116
7070,-90.04579834976215,-81.01001360692956,30.0,-82.76816911192397
7235,-51.08541147911113,-50.10587275135875,23.0,-49.60218099142109
7261,-26.460803480179848,-24.28886661803807,8.0,-24.496759378702517
7388,-62.26557720324157,-48.54097880141393,14.0,-52.67119140465717
7395,-24.2993948944948,-24.05980061265753,8.0,-23.94306170479682
7398,-1.7850568292146498,-1.5044341999485702,0.0,-1.1331891559156697
7409,-32.32504430941826,-27.123722881012803,8.0,-48.71784190056699
7438,-8.424544709914263,-7.853708629599352,2.0,-7.848998419155889
7613,-67.94442790798222,-68.25313869171272,29.0,-68.22236810017057
7733,-15.525234965469908,-15.455101581241449,4.0,-15.482342486464466
7766,-4.639467012541562,-4.820069865378401,1.0,-5.171169065225727
7802,-21.907898006288804,-22.147966466400437,6.0,-22.46512557557823
7841,-0.8739092546142408,-0.9397200005504334,0.0,-0.7988023261362079
7900,-15.183423269236169,-15.325836946330847,4.0,-15.31170234636762
7923,-11.57525852492742,-11.486797149839882,3.0,-11.54640391177386
7949,-5.947624432298755,-5.9051827565682995,1.0,-5.553020685681809
8108,-18.202881711478245,-18.81856863155444,5.0,-18.607493834854044
8203,-12.661871482582091,-12.804981044935886,3.0,-12.829353099499194
8344,-36.66600597428199,-37.42141798804818,14.0,-37.19275056472292
8403,-8.723145044920681,-8.880971544189261,2.0,-8.878453793560144
8585,-14.097597008632617,-12.12081155654089,3.0,-12.279236286512552
8616,-14.871986423197344,-13.990047669698304,4.0,-14.098988245976535
8766,-9.096472978926675,-8.676700049317615,2.0,-8.603121571361871
8863,-4.9791700905721905,-4.2916420332805565,1.0,-3.971726705365581
