user_id,ll_personalized_poisson,ll_experimental_1_hawkes,test_purchases
59,-14.687319241571945,-13.373193930581875,2.0
137,-5.774783782284581,-5.697978744955249,1.0
267,-2.9999202620151957,-2.612723763933891,0.0
306,-26.63875158266729,-26.70184236118765,6.0
341,-11.778165553171661,-11.40503441943066,2.0
418,-9.471951318181034,-7.82858256351984,2.0
801,-2.088772687414786,-2.6242640876370564,0.0
961,-3.911067836615605,-3.5768324883163123,0.0
996,-44.55057546920792,-45.86666929670018,17.0
1042,-0.6250334561147853,-0.5458665012413171,0.0
1160,-26.550353115128022,-25.10797475785918,9.0
1267,-6.439775386085863,-5.956727046211585,1.0
1353,-1.7850568292146498,-3.496636491959175,0.0
1378,-7.5379089290637165,-7.3655821667671635,1.0
1553,-32.598627536875796,-33.211845862744305,13.0
1748,-23.877590651471593,-23.27013920897159,7.0
1881,-1.4885543858120807,-1.3937783186249644,0.0
1887,-17.68887449928371,-18.06233927025952,5.0
1933,-26.213978311673323,-26.05349064742433,8.0
2209,-8.63400447097368,-8.716352746765974,2.0
2232,-44.16006410991499,-44.47677915565906,16.0
2249,-5.8609970023514695,-5.767848935919439,1.0
2293,-16.929521109861703,-17.5246582361182,6.0
2340,-4.969887973140411,-5.167551789398865,1.0
2596,-22.73923454650528,-22.720639970660564,4.0
2647,-28.638014556680233,-28.5534224813659,9.0
2740,-4.874564710645547,-4.968432798682659,1.0
2807,-8.861711304089756,-8.11645901297036,1.0
2812,-11.9321917419481,-12.254562298314992,3.0
2873,-4.2147836948157416,-3.9551788291402117,0.0
3001,-124.43414258936586,-122.04105845512032,85.0
3042,-7.630290971663316,-7.293115185530692,1.0
3325,-14.51324223772237,-13.25845352835191,4.0
3367,-15.819124878463025,-14.87841970600366,3.0
3485,-29.520517462429126,-28.568602570997307,9.0
3552,-3.607351978415468,-3.36107252300983,0.0
3631,-2.3924885456149223,-2.1311500707295807,0.0
3733,-16.68064730925622,-16.559115721764883,4.0
3761,-2.3924885456149223,-2.217788252803767,0.0
3774,-2.797533821828502,-2.3735364368832808,0.0
3883,-8.818588366347269,-8.626464167921355,2.0
3896,-28.165199583359534,-28.542234530080783,8.0
3905,-24.353507360308427,-25.746924171866898,4.0
3952,-27.143442819804175,-27.575564331557555,8.0
3955,-17.42636336177284,-15.350054919321385,4.0
3956,-21.921513250965788,-21.374795106699786,7.0
3979,-5.988400958606176,-5.765885761271051,1.0
4073,-22.485901735724973,-22.317875844803915,6.0
4344,-2.9999202620151957,-2.7706645022461642,0.0
4453,-5.277973242871076,-5.365700382046011,1.0
4650,-28.56507576878199,-26.53470364036853,7.0
4711,-39.259679225078074,-39.20542938964122,17.0
4730,-101.8603591529457,-96.99751026345969,32.0
4753,-12.389515549309428,-13.039726043327136,3.0
4892,-11.669179003334765,-12.074510651252712,3.0
5010,-40.53520015067958,-41.01259006227334,17.0
5020,-30.2030412718843,-29.330891396073444,10.0
5043,-12.630130779639513,-13.488709499020063,3.0
5120,-6.5210370084587606,-6.289657850506733,1.0
5331,-19.400186661301863,-19.8295654057123,5.0
5340,-31.696198026658017,-30.919682100261365,11.0
5552,-40.22918530332982,-38.88060200744546,12.0
5568,-18.842487025870362,-17.704949361409785,5.0
5761,-10.563628095559405,-10.38502514454858,2.0
5867,-29.168185744729485,-30.207959924552867,7.0
5887,-5.5060413400389585,-5.230587412561636,1.0
5912,-34.623289815674035,-35.278878299266424,13.0
5932,-5.133080292239298,-5.2256708102250355,1.0
6321,-12.18815544095702,-12.680993880612109,3.0
6350,-45.44070525746752,-45.599279735157126,20.0
6411,-1.177625112814377,-1.1096979680737777,0.0
6442,-17.789061651299,-17.559930474890333,5.0
6713,-9.684178208595085,-10.275230915750146,2.0
6977,-6.644510560416832,-5.576137591322089,0.0
7070,-90.04579834976215,-81.01001360692956,30.0
7235,-51.08541147911113,-50.10587275135875,23.0
7261,-26.460803480179848,-24.28886661803807,8.0
7388,-62.26557720324157,-48.54097880141393,14.0
7395,-24.2993948944948,-24.05980061265753,8.0
7398,-1.7850568292146498,-1.5044341999485702,0.0
7409,-32.32504430941826,-27.123722881012803,8.0
7438,-8.424544709914263,-7.8537086295993515,2.0
7613,-67.94442790798222,-68.25313869171272,29.0
7733,-15.525234965469908,-15.455101581241447,4.0
7766,-4.639467012541562,-4.820069865378401,1.0
7802,-21.907898006288804,-22.147966466400437,6.0
7841,-0.8739092546142408,-0.9397200005504334,0.0
7900,-15.183423269236169,-15.325836946330847,4.0
7923,-11.57525852492742,-11.486797149839882,3.0
7949,-5.947624432298755,-5.9051827565682995,1.0
8108,-18.202881711478245,-18.81856863155444,5.0
8203,-12.661871482582093,-12.804981044935886,3.0
8344,-36.66600597428199,-37.42141798804818,14.0
8403,-8.723145044920681,-8.880971544189261,2.0
8585,-14.097597008632615,-12.12081155654089,3.0
8616,-14.871986423197344,-13.990047669698303,4.0
8766,-9.096472978926677,-8.676700049317615,2.0
8863,-4.9791700905721905,-4.2916420332805565,1.0
8866,-5.256974699460587,-5.2498729715509045,1.0
8876,-6.192345448046255,-5.865099919528358,1.0
8902,-33.63076716519201,-33.70311218060608,12.0
9099,-5.483108766235657,-5.679069625449911,1.0
9163,-5.950232496411106,-5.713506092692156,1.0
9230,-21.913795826609917,-17.911047031090344,5.0
9264,-19.347896993863802,-19.680274829986406,4.0
9279,-18.345747078630573,-17.5539376713302,3.0
9431,-211.41246637091453,-209.30943704651955,115.0
9434,-14.375018151817365,-14.067408042322693,4.0
9567,-2.5456903814941145,-2.1198650514960393,0.0
9591,-33.832657618951714,-35.108558510149514,9.0
9772,-6.767960914120288,-6.479309161556463,1.0
10022,-78.14242717891167,-76.52653121972212,32.0
10139,-8.453172919754861,-8.788535274774985,2.0
10299,-74.20434210149013,-75.23973276052809,29.0
10407,-34.02254617461376,-34.38095544042788,12.0
10415,-5.195797624980317,-4.990713978188724,1.0
10436,-2.6962044038150594,-2.421189346549657,0.0
10446,-23.357419165582375,-23.253049357103347,6.0
10503,-15.324127925205717,-14.129538322463935,1.0
10542,-0.5701933964141045,-0.5721894994239037,0.0
10667,-35.821286593075776,-36.15831287262043,15.0
10714,-5.000463482489423,-4.970879893968587,1.0
10761,-3.303636120215332,-2.9366048450645814,0.0
10954,-5.191352690689291,-5.098468911616296,1.0
11028,-5.0067669990285335,-4.9903469608367335,1.0
11085,-29.688508499733953,-29.528710617424174,9.0
11355,-69.44917249722343,-45.44068865101683,12.0
11500,-52.838533672218674,-53.189123076110505,20.0
11667,-18.765131416278884,-18.040934245393903,5.0
11865,-14.931134795487521,-15.15370468209394,4.0
11961,-10.203433315416511,-10.4566650139718,2.0
12020,-5.182648566213634,-5.301517861863969,1.0
12048,-36.11499262130376,-34.03933624736246,11.0
12174,-47.207376428659316,-46.3353909007115,16.0
12187,-9.541341617596581,-9.485259386673935,2.0
12192,-1.4813409710145136,-2.1207713129847865,0.0
12396,-36.76212388949158,-37.36258314282832,14.0
12435,-23.29852164823383,-22.28185055251421,6.0
12467,-27.78166364900443,-26.17223554960086,6.0
12492,-61.926569415446814,-56.79852906854954,18.0
12505,-0.8328237676963033,-0.7586013232673104,0.0
12519,-60.73480453336989,-61.239778556388785,23.0
12547,-18.904618117636648,-18.957742547360795,6.0
12905,-10.707244630562826,-11.049346163343401,2.0
13012,-25.786507619656486,-23.647439583770012,7.0
13187,-66.18340134135717,-66.15959511844429,29.0
13403,-53.031037777193845,-52.960595002211406,22.0
13435,-14.97354729927397,-14.963288278618284,4.0
13442,-5.186417438041745,-5.46279543020169,1.0
13495,-8.477461826801866,-8.662037759239825,2.0
13629,-37.37331804402129,-37.28859074858476,14.0
13731,-16.449016013350224,-16.4424199747929,4.0
