user_id,ll_personalized_poisson,ll_experimental_gbdt,test_purchases
59,-14.687319241571945,-10.490678115880403,2.0
137,-5.774783782284581,-5.249702650899697,1.0
267,-2.9999202620151957,-1.8661940407707147,0.0
306,-26.63875158266729,-24.445219950512502,6.0
341,-11.778165553171661,-10.833185462608327,2.0
418,-9.471951318181034,-7.195772670443654,2.0
801,-2.088772687414786,-2.603198369964786,0.0
961,-3.911067836615605,-5.0039016016272475,0.0
996,-44.55057546920792,-47.95904456857672,17.0
1042,-0.6250334561147853,-1.0190890581520835,0.0
1160,-26.550353115128022,-23.990467768273422,9.0
1267,-6.439775386085863,-5.029050060259346,1.0
1353,-1.7850568292146498,-3.361540747602556,0.0
1378,-7.5379089290637165,-7.363076956738009,1.0
1553,-32.598627536875796,-34.17732681479615,13.0
1748,-23.877590651471593,-22.780292055707744,7.0
1881,-1.4885543858120807,-1.3746814176149447,0.0
1887,-17.68887449928371,-18.272004789927305,5.0
1933,-26.213978311673323,-24.66783495906028,8.0
2209,-8.63400447097368,-8.518834106332408,2.0
2232,-44.16006410991499,-47.03142411419404,16.0
2249,-5.8609970023514695,-5.5866539631704395,1.0
2293,-16.929521109861703,-15.365993785524712,6.0
2340,-4.969887973140411,-5.668768287992487,1.0
2596,-22.73923454650528,-20.185590967154056,4.0
2647,-28.638014556680233,-28.58031314446872,9.0
2740,-4.874564710645547,-5.617634728752123,1.0
2807,-8.861711304089756,-7.031131237690004,1.0
2812,-11.9321917419481,-12.311544685112507,3.0
2873,-4.2147836948157416,-3.6217413249554604,0.0
3001,-124.43414258936586,-121.97046752251612,85.0
3042,-7.630290971663316,-7.71999915541366,1.0
3325,-14.51324223772237,-13.127411729767385,4.0
3367,-15.819124878463025,-11.895278559485725,3.0
3485,-29.520517462429126,-27.866479263929907,9.0
3552,-3.607351978415468,-2.902157145729516,0.0
3631,-2.3924885456149223,-1.4719688255147043,0.0
3733,-16.68064730925622,-16.459636885561093,4.0
3761,-2.3924885456149223,-1.8711231560382995,0.0
3774,-2.797533821828502,-1.283793634803002,0.0
3883,-8.818588366347269,-8.598451084173533,2.0
3896,-28.165199583359534,-29.608607039181766,8.0
3905,-24.353507360308427,-20.311982750983947,4.0
3952,-27.143442819804175,-28.14413746679551,8.0
3955,-17.42636336177284,-14.396533456352659,4.0
3956,-21.921513250965788,-21.15060550681777,7.0
3979,-5.988400958606176,-5.0593448844274285,1.0
4073,-22.485901735724973,-23.0681524554899,6.0
4344,-2.9999202620151957,-2.6548344868060023,0.0
4453,-5.277973242871076,-5.47894710393587,1.0
4650,-28.56507576878199,-27.057281156933353,7.0
4711,-39.259679225078074,-38.93108681930682,17.0
4730,-101.8603591529457,-88.74408831265065,32.0
4753,-12.389515549309428,-13.366826355708314,3.0
4892,-11.669179003334765,-11.789606333135826,3.0
5010,-40.53520015067958,-41.599095101251066,17.0
5020,-30.2030412718843,-28.968028004261694,10.0
5043,-12.630130779639513,-13.772284491191428,3.0
5120,-6.5210370084587606,-6.1941548154193615,1.0
5331,-19.400186661301863,-19.778900596023817,5.0
5340,-31.696198026658017,-30.405222270356283,11.0
5552,-40.22918530332982,-36.571625275679374,12.0
5568,-18.842487025870362,-17.485771644434507,5.0
5761,-10.563628095559405,-10.164548228920165,2.0
5867,-29.168185744729485,-29.85282257742192,7.0
5887,-5.5060413400389585,-4.632325246959808,1.0
5912,-34.623289815674035,-35.666155139750394,13.0
5932,-5.133080292239298,-5.447865888266311,1.0
6321,-12.18815544095702,-13.258046598681284,3.0
6350,-45.44070525746752,-46.9702830905667,20.0
6411,-1.177625112814377,-1.6248649324500608,0.0
6442,-17.789061651299,-17.177749471317252,5.0
6713,-9.684178208595085,-10.486865868079303,2.0
6977,-6.644510560416832,-2.8939863850538043,0.0
7070,-90.04579834976215,-71.87315848158924,30.0
7235,-51.08541147911113,-49.87734600605673,23.0
7261,-26.460803480179848,-23.9415111302938,8.0
7388,-62.26557720324157,-41.089289832207214,14.0
7395,-24.2993948944948,-25.942022250481852,8.0
7398,-1.7850568292146498,-1.1334525747654347,0.0
7409,-32.32504430941826,-25.064176550487723,8.0
7438,-8.424544709914263,-8.065285318711792,2.0
7613,-67.94442790798222,-68.70680678256257,29.0
7733,-15.525234965469908,-15.747788893287176,4.0
7766,-4.639467012541562,-4.696555530113867,1.0
7802,-21.907898006288804,-20.99825397703495,6.0
7841,-0.8739092546142408,-1.4540876995519476,0.0
7900,-15.183423269236169,-15.37089406755634,4.0
7923,-11.57525852492742,-12.12419988635028,3.0
7949,-5.947624432298755,-5.919567943082204,1.0
8108,-18.202881711478245,-19.079702961395405,5.0
8203,-12.661871482582093,-12.706154926663597,3.0
8344,-36.66600597428199,-38.33312223154269,14.0
8403,-8.723145044920681,-8.832353574783195,2.0
8585,-14.097597008632615,-11.061941537519312,3.0
8616,-14.871986423197344,-13.778958128250263,4.0
8766,-9.096472978926677,-8.855905992945077,2.0
8863,-4.9791700905721905,-4.856047713376803,1.0
8866,-5.256974699460587,-5.985886988195383,1.0
8876,-6.192345448046255,-5.495174778146385,1.0
8902,-33.63076716519201,-33.92245992813656,12.0
9099,-5.483108766235657,-5.947352819146873,1.0
9163,-5.950232496411106,-5.822347876802497,1.0
9230,-21.913795826609917,-17.72615276944677,5.0
9264,-19.347896993863802,-18.096016160522378,4.0
9279,-18.345747078630573,-15.574779341809485,3.0
9431,-211.41246637091453,-219.7643718470042,115.0
9434,-14.375018151817365,-14.236621384050181,4.0
9567,-2.5456903814941145,-1.3084268670188275,0.0
9591,-33.832657618951714,-36.0203852829662,9.0
9772,-6.767960914120288,-5.993020375975602,1.0
10022,-78.14242717891167,-72.51783450333356,32.0
10139,-8.453172919754861,-9.280540071372068,2.0
10299,-74.20434210149013,-81.11097615669453,29.0
10407,-34.02254617461376,-34.98431467135158,12.0
10415,-5.195797624980317,-4.410582686354321,1.0
10436,-2.6962044038150594,-1.9182661501773692,0.0
10446,-23.357419165582375,-23.7070682321587,6.0
10503,-15.324127925205717,-10.917880518112858,1.0
10542,-0.5701933964141045,-1.7802343476891254,0.0
10667,-35.821286593075776,-36.40077875041238,15.0
10714,-5.000463482489423,-5.092974639930719,1.0
10761,-3.303636120215332,-2.619926963037484,0.0
10954,-5.191352690689291,-4.873544176638162,1.0
11028,-5.0067669990285335,-4.606206142121976,1.0
11085,-29.688508499733953,-29.826967165267636,9.0
11355,-69.44917249722343,-38.805809307090335,12.0
11500,-52.838533672218674,-51.57214776687563,20.0
11667,-18.765131416278884,-17.588098360031633,5.0
11865,-14.931134795487521,-14.91757181855163,4.0
11961,-10.203433315416511,-10.338289753206745,2.0
12020,-5.182648566213634,-5.596030191240314,1.0
12048,-36.11499262130376,-31.984474279106244,11.0
12174,-47.207376428659316,-45.03979619914192,16.0
12187,-9.541341617596581,-9.527260645515323,2.0
12192,-1.4813409710145136,-4.227992947449108,0.0
12396,-36.76212388949158,-39.00382740195885,14.0
12435,-23.29852164823383,-21.392458121833425,6.0
12467,-27.78166364900443,-22.80571446419645,6.0
12492,-61.926569415446814,-58.51988143289469,18.0
12505,-0.8328237676963033,-1.1670859264464155,0.0
12519,-60.73480453336989,-61.1009408331224,23.0
12547,-18.904618117636648,-19.628384842244103,6.0
12905,-10.707244630562826,-8.38145921029734,2.0
13012,-25.786507619656486,-21.858582648361544,7.0
13187,-66.18340134135717,-65.66847389430914,29.0
13403,-53.031037777193845,-53.49260834843212,22.0
13435,-14.97354729927397,-15.877921730053615,4.0
13442,-5.186417438041745,-5.633989237272991,1.0
13495,-8.477461826801866,-9.09834501632569,2.0
13629,-37.37331804402129,-37.73519677605202,14.0
13731,-16.449016013350224,-17.93694984699736,4.0
13742,-3.911067836615605,-1.8877518568674376,0.0
13915,-13.90156607132117,-12.984900910897359,3.0
13985,-18.720601625349705,-17.821667775958257,5.0
14049,-9.175106408256267,-9.80927051178108,2.0
14075,-2.415779715926769,-1.4784301153162074,0.0
14098,-5.555266454612907,-4.766768700054081,1.0
14166,-41.73039452549757,-42.45543766031992,15.0
14184,-8.511342217249677,-8.833661316673624,2.0
14240,-12.538289328102449,-12.95238267272466,3.0
14263,-15.552168370202752,-15.427171525801114,4.0
14471,-30.530379156932774,-30.30937139185722,10.0
14586,-1.177625112814377,-1.832034924725257,0.0
14661,-5.174189674147462,-5.700653624508077,1.0
14786,-5.113980721041136,-4.3549159399241555,1.0
14792,-25.14731232516505,-22.416861752537102,8.0
14816,-25.583737417921366,-22.722083173445597,7.0
14823,-22.65930637251522,-21.683105171162595,7.0
14910,-56.368509842921384,-57.543024748754085,11.0
14916,-38.89686895681565,-38.437126765624164,13.0
14937,-5.056976328720807,-5.1668304922321635,1.0
15111,-27.11197517732222,-25.767015342802587,8.0
15197,-11.84122529430802,-10.65874427856922,3.0
15360,-14.251328793596155,-14.906937101413755,4.0
15370,-54.52164132582717,-58.74916191663396,22.0
15391,-5.530732784215204,-6.373370916633014,1.0
15508,-32.859894355605036,-21.300034311041454,6.0
15517,-34.11608048304262,-27.9587062987559,8.0
15553,-11.907047276765267,-12.347271623006609,3.0
15580,-29.34554254944216,-28.806499659223608,11.0
15613,-9.721968357886805,-9.623597448200822,2.0
15625,-74.69861385810773,-71.63732807991386,31.0
15662,-12.431380621022631,-10.685296549904121,2.0
15671,-14.436898023357028,-12.748167522220035,3.0
15803,-30.98932453436487,-32.07946325371703,11.0
15954,-58.12537937465761,-58.73406394494373,22.0
16051,-59.43916712456497,-62.63774074079494,25.0
16082,-1.4813409710145136,-1.2607062699416283,0.0
16306,-0.8863616841608835,-1.2134801257023675,0.0
16355,-5.133080292239298,-5.315931923464812,1.0
16360,-2.9999202620151957,-2.271089089378554,0.0
16387,-8.775466025940224,-6.309035233570503,1.0
