window_index,window_start,window_end,label,fit_success,base_scale,alpha_relative_l2_to_full,feature_mass_relative_l2_to_full,half_life_mass_relative_l2_to_full,userday_excitation_relative_l2_to_full,daily_excitation_relative_l2_to_full,test_poisson_loglik,test_delta_poisson_loglik_vs_personalized,test_mean_poisson_nll,test_delta_mean_poisson_nll_vs_personalized,test_mae,test_delta_mae_vs_personalized
0,2025-01-15,2025-01-21,01-15..01-21,1,0.6931094409905558,0.4210415140591011,0.32926238340834385,0.4321995725435272,0.1763157669819043,0.1297196904437849,-202822.50571154524,7344.506795888417,0.3952745873493918,-0.014313484999334325,0.2065930390628194,-0.012107150594403676
1,2025-01-22,2025-01-28,01-22..01-28,1,0.7829721695182952,0.6128132636790693,0.6137791334328665,0.7541364651942019,0.19936903530096373,0.007551109681707523,-203149.3114841669,7017.701023266767,0.3959114891392757,-0.013676583209450421,0.21272899109813392,-0.005971198559089147
2,2025-01-29,2025-02-04,01-29..02-04,1,0.7923697278612615,0.3273324285879107,0.33005198326025037,0.39387402588412895,0.13849444476603417,0.08151610072437913,-203401.18020423065,6765.832303203002,0.3964023483959453,-0.013185723952780837,0.21248844667202502,-0.006211742985198054
3,2025-02-05,2025-02-11,02-05..02-11,1,0.8365800879045203,0.4341289755911788,0.4208488505567377,0.24090043076233514,0.12834112141574353,0.07332636266450568,-202928.42757746222,7238.584929971432,0.3954810152391111,-0.014107057109615018,0.21884187226148072,0.000141682604257648
4,2025-02-12,2025-02-18,02-12..02-18,1,0.8169771502079548,0.6100664911461395,0.5924530748525305,0.4786676211975096,0.08031918348931671,0.05587612676249427,-202922.93566621037,7244.0768412232865,0.3954703122209908,-0.014117760127735302,0.2170024119640456,-0.0016977776931774713
5,2025-02-19,2025-02-25,02-19..02-25,1,0.8020113954488791,1.3928469259725875,1.356794029583251,0.9590672309890105,0.16214779300119317,0.046204001408014526,-203028.0864477607,7138.926059672958,0.3956752373679362,-0.013912834980789934,0.21541105217043677,-0.0032891374867863032
6,2025-02-26,2025-03-04,02-26..03-04,1,0.8435688636050247,1.0517543220288155,0.9280329206369343,0.9384798788380064,0.17356500532914704,0.08796495329350111,-202969.19506351708,7197.817443916574,0.39556046574767806,-0.01402760660104807,0.21964896575168869,0.0009487760944656143
7,2025-03-05,2025-03-11,03-05..03-11,1,0.7722136773821091,3.4210842023507366,3.3650248494598776,2.9185964767231973,0.19029846623671745,0.09317494976199955,-203581.1676600346,6585.844847399043,0.39675312045189337,-0.012834951896832758,0.21078586711162997,-0.0079143225455931
8,2025-03-12,2025-03-18,03-12..03-18,1,0.875612581485032,0.245662713821154,0.20105701077385854,0.05816788159447716,0.11637286509459474,0.095803711918724,-203588.1978091392,6578.814698294445,0.39676682129478835,-0.012821251053937777,0.22010726454944748,0.0014070748922244136
9,2025-03-19,2025-03-25,03-19..03-25,1,0.7969930679603376,0.5686956161098958,0.7098978639048688,0.47731030143259406,0.17308037464080225,0.011021609540106104,-203177.48323923902,6989.52926819463,0.39596639221239366,-0.01362168013633247,0.2138687303288362,-0.004831459328386883
