alpha_l2,feature,half_life,alpha
0.0,searches,1.0,0.002940026765732851
0.0,searches,3.0,0.0
0.0,cat_to_cart,1.0,0.000897451763351608
0.0,cat_to_cart,3.0,0.00028976417960292024
0.0,cat_to_ord,1.0,0.0
0.0,cat_to_ord,3.0,0.0008432243984669859
0.0,to_cart,1.0,0.004235140654107654
0.0,to_cart,3.0,0.0
0.0,to_ord,1.0,0.0
0.0,to_ord,3.0,0.015200173998542673
1e-06,searches,1.0,0.002940026765696205
1e-06,searches,3.0,0.0
1e-06,cat_to_cart,1.0,0.0008974517623685012
1e-06,cat_to_cart,3.0,0.00028976418308180164
1e-06,cat_to_ord,1.0,0.0
1e-06,cat_to_ord,3.0,0.0008432243965486233
1e-06,to_cart,1.0,0.004235140652127437
1e-06,to_cart,3.0,0.0
1e-06,to_ord,1.0,0.0
1e-06,to_ord,3.0,0.015200173994760202
1e-05,searches,1.0,0.00294002676567008
1e-05,searches,3.0,0.0
1e-05,cat_to_cart,1.0,0.0008974517665249653
1e-05,cat_to_cart,3.0,0.00028976417461778516
1e-05,cat_to_ord,1.0,0.0
1e-05,cat_to_ord,3.0,0.0008432243875823682
1e-05,to_cart,1.0,0.004235140655483658
1e-05,to_cart,3.0,0.0
1e-05,to_ord,1.0,0.0
1e-05,to_ord,3.0,0.015200174007679132
0.0001,searches,1.0,0.0029400267655477954
0.0001,searches,3.0,0.0
0.0001,cat_to_cart,1.0,0.0008974517731429676
0.0001,cat_to_cart,3.0,0.00028976418547695104
0.0001,cat_to_ord,1.0,0.0
0.0001,cat_to_ord,3.0,0.0008432243422881911
0.0001,to_cart,1.0,0.004235140642281024
0.0001,to_cart,3.0,0.0
0.0001,to_ord,1.0,0.0
0.0001,to_ord,3.0,0.015200174005971696
0.001,searches,1.0,0.002940026764462548
0.001,searches,3.0,0.0
0.001,cat_to_cart,1.0,0.0008974518330517987
0.001,cat_to_cart,3.0,0.0002897643001242112
0.001,cat_to_ord,1.0,0.0
0.001,cat_to_ord,3.0,0.0008432239271473031
0.001,to_cart,1.0,0.004235140511841269
0.001,to_cart,3.0,0.0
0.001,to_ord,1.0,0.0
0.001,to_ord,3.0,0.015200173968187007
0.01,searches,1.0,0.002940026752551361
0.01,searches,3.0,0.0
0.01,cat_to_cart,1.0,0.0008974524765376705
0.01,cat_to_cart,3.0,0.00028976548790292974
0.01,cat_to_ord,1.0,0.0
0.01,cat_to_ord,3.0,0.0008432194850472828
0.01,to_cart,1.0,0.004235139141220537
0.01,to_cart,3.0,0.0
0.01,to_ord,1.0,0.0
0.01,to_ord,3.0,0.01520017361982847
0.1,searches,1.0,0.0029400266299016765
0.1,searches,3.0,0.0
0.1,cat_to_cart,1.0,0.0008974587486274062
0.1,cat_to_cart,3.0,0.0002897774061289619
0.1,cat_to_ord,1.0,0.0
0.1,cat_to_ord,3.0,0.0008431751931726732
0.1,to_cart,1.0,0.004235125532700116
0.1,to_cart,3.0,0.0
0.1,to_ord,1.0,0.0
0.1,to_ord,3.0,0.015200169995701363
1.0,searches,1.0,0.0029400250611055505
1.0,searches,3.0,0.0
1.0,cat_to_cart,1.0,0.0008975055245155218
1.0,cat_to_cart,3.0,0.0002898939550807788
1.0,cat_to_ord,1.0,0.0
1.0,cat_to_ord,3.0,0.0008427522241707051
1.0,to_cart,1.0,0.004235004050345909
1.0,to_cart,3.0,0.0
1.0,to_ord,1.0,0.0
1.0,to_ord,3.0,0.015200126157342474
10.0,searches,1.0,0.002939996150671392
10.0,searches,3.0,0.0
10.0,cat_to_cart,1.0,0.000896588420299579
10.0,cat_to_cart,3.0,0.00029098376170348417
10.0,cat_to_ord,1.0,0.0
10.0,cat_to_ord,3.0,0.0008404396209123352
10.0,to_cart,1.0,0.004234890155220417
10.0,to_cart,3.0,0.0
10.0,to_ord,1.0,0.0
10.0,to_ord,3.0,0.015198933772703265
100.0,searches,1.0,0.0029423324596346005
100.0,searches,3.0,0.0
100.0,cat_to_cart,1.0,0.0007968980842468455
100.0,cat_to_cart,3.0,0.00033847796031191447
100.0,cat_to_ord,1.0,0.0
100.0,cat_to_ord,3.0,0.0009328920974455966
100.0,to_cart,1.0,0.004249847186380752
100.0,to_cart,3.0,0.0
100.0,to_ord,1.0,0.0
100.0,to_ord,3.0,0.015148475956103613
1000.0,searches,1.0,0.0029422024752251814
1000.0,searches,3.0,0.0
1000.0,cat_to_cart,1.0,0.0009105668360119185
1000.0,cat_to_cart,3.0,0.00028660546528093807
1000.0,cat_to_ord,1.0,0.0
1000.0,cat_to_ord,3.0,0.0008772838024704964
1000.0,to_cart,1.0,0.0042369477580984196
1000.0,to_cart,3.0,0.0
1000.0,to_ord,1.0,0.0
1000.0,to_ord,3.0,0.015164818116503092
10000.0,searches,1.0,0.0029443308558536815
10000.0,searches,3.0,0.0
10000.0,cat_to_cart,1.0,0.0009833300912508388
10000.0,cat_to_cart,3.0,0.00024292921753264575
10000.0,cat_to_ord,1.0,0.0
10000.0,cat_to_ord,3.0,0.0008960742601926581
10000.0,to_cart,1.0,0.004237105554289247
10000.0,to_cart,3.0,0.0
10000.0,to_ord,1.0,0.0
10000.0,to_ord,3.0,0.015116233906964174
100000.0,searches,1.0,0.002954488377611607
100000.0,searches,3.0,0.0
100000.0,cat_to_cart,1.0,0.0007728836568199435
100000.0,cat_to_cart,3.0,0.00035414913214752784
100000.0,cat_to_ord,1.0,0.0
100000.0,cat_to_ord,3.0,0.0008768585556014318
100000.0,to_cart,1.0,0.004291294410963479
100000.0,to_cart,3.0,0.0
100000.0,to_ord,1.0,0.0
100000.0,to_ord,3.0,0.014626062142938837
1000000.0,searches,1.0,0.0030216144028113946
1000000.0,searches,3.0,0.0
1000000.0,cat_to_cart,1.0,0.0003567628520361878
1000000.0,cat_to_cart,3.0,0.0006357706703346896
1000000.0,cat_to_ord,1.0,0.0
1000000.0,cat_to_ord,3.0,0.0006609689823951488
1000000.0,to_cart,1.0,0.004342935010478115
1000000.0,to_cart,3.0,0.0
1000000.0,to_ord,1.0,0.003291799795391009
1000000.0,to_ord,3.0,0.009972190461011568
