block_idx,block_label,test_start,test_end,test_rows,Joint Hawkes (λ_u + α),Joint baseline (λ_u only),alpha_norm,lambda_mean
0,2025-01-15..2025-02-04,2025-01-29,2025-02-04,63410,0.29878127319917996,0.3115401255561308,0.046681228309204396,0.7029331139321019
1,2025-02-05..2025-02-25,2025-02-19,2025-02-25,65656,0.3344326141913159,0.3509389965315633,0.05460558059664691,0.7219219330589454
2,2025-02-26..2025-03-18,2025-03-12,2025-03-18,66568,0.3507029647074334,0.3717995004045832,0.05151392843522638,0.6803626009720101
3,2025-03-19..2025-04-08,2025-04-02,2025-04-08,67301,0.3193212993873456,0.33825655024710005,0.05470006740422905,0.6796646956269431
4,2025-04-09..2025-04-29,2025-04-23,2025-04-29,67917,0.34162923702742265,0.36191292193407676,0.05094091076523033,0.7081835806033085
5,2025-04-30..2025-05-20,2025-05-14,2025-05-20,68426,0.3559740859124786,0.3778372507305161,0.05570560944577056,0.6729529623989841
6,2025-05-21..2025-06-10,2025-06-04,2025-06-10,68776,0.35121380989735984,0.3712540714095064,0.053262163118338646,0.6763547479329602
7,2025-06-11..2025-07-01,2025-06-25,2025-07-01,68950,0.3647496976990958,0.38477161920480074,0.04069979508501359,0.6797744852419253
8,2025-07-02..2025-07-22,2025-07-16,2025-07-22,69151,0.38406247949508626,0.40419369900445407,0.05051498516952923,0.6640093098753509
9,2025-07-23..2025-08-12,2025-08-06,2025-08-12,69271,0.3946732261675599,0.41425010200554224,0.04182086768503178,0.6688875261675319
10,2025-08-13..2025-09-02,2025-08-27,2025-09-02,69226,0.4088074527246156,0.4288065885693282,0.04466272321886679,0.653054993260977
11,2025-09-03..2025-09-23,2025-09-17,2025-09-23,68866,0.41521837619435653,0.4380457213097118,0.04845660341209228,0.6360600810379045
12,2025-09-24..2025-10-14,2025-10-08,2025-10-14,67232,0.39952313999170125,0.416904376948347,0.045612727913894015,0.6290258595981629
