block_idx,block_label,test_start,test_end,test_rows,Personalized L2 standalone,lambda_mean,lambda_median
0,2025-01-15..2025-02-04,2025-01-29,2025-02-04,63410,0.30618435181633086,0.7429861468505238,0.3372809118010247
1,2025-02-05..2025-02-25,2025-02-19,2025-02-25,65656,0.3440772804350752,0.7739916788138509,0.3583845698007633
2,2025-02-26..2025-03-18,2025-03-12,2025-03-18,66568,0.3633917747073593,0.7306377892971255,0.28781637871052385
3,2025-03-19..2025-04-08,2025-04-02,2025-04-08,67301,0.32986115459811927,0.7303813324137256,0.31287932815955743
4,2025-04-09..2025-04-29,2025-04-23,2025-04-29,67917,0.35372621885389327,0.750606262857867,0.31756831196639657
5,2025-04-30..2025-05-20,2025-05-14,2025-05-20,68426,0.3696972719596708,0.7275810421418422,0.31012626730538945
6,2025-05-21..2025-06-10,2025-06-04,2025-06-10,68776,0.3648440114887346,0.711111432581101,0.25286928730024427
7,2025-06-11..2025-07-01,2025-06-25,2025-07-01,68950,0.3787691273922118,0.7288623822332276,0.24808846773755847
8,2025-07-02..2025-07-22,2025-07-16,2025-07-22,69151,0.3972958410161267,0.7227037137581598,0.22358523813892817
9,2025-07-23..2025-08-12,2025-08-06,2025-08-12,69271,0.4082864434867305,0.7186145481945886,0.2172953524278805
10,2025-08-13..2025-09-02,2025-08-27,2025-09-02,69226,0.42950857980658186,0.6895763230415636,0.7551107935286545
11,2025-09-03..2025-09-23,2025-09-17,2025-09-23,68866,0.43134620883866454,0.6966803955762197,0.7764918394894899
12,2025-09-24..2025-10-14,2025-10-08,2025-10-14,67232,0.4120217246425793,0.6858378360804878,0.754203467311968
